index;Case ID;Activity;Resource;Complete Timestamp;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
213;Application_42838382;A_Create Application;User_1;2016/01/01 17:58:48.775;New credit;Existing loan takeover;29500.0;A_Cancelled
214;Application_42838382;A_Submitted;User_1;2016/01/01 17:58:48.810;New credit;Existing loan takeover;29500.0;A_Cancelled
215;Application_42838382;A_Concept;User_1;2016/01/01 17:59:29.704;New credit;Existing loan takeover;29500.0;A_Cancelled
216;Application_42838382;W_Complete application;User_3;2016/01/02 16:34:32.562;New credit;Existing loan takeover;29500.0;A_Cancelled
217;Application_42838382;A_Accepted;User_3;2016/01/02 16:25:13.203;New credit;Existing loan takeover;29500.0;A_Cancelled
218;Application_42838382;O_Create Offer;User_3;2016/01/02 16:33:53.848;New credit;Existing loan takeover;29500.0;A_Cancelled
219;Application_42838382;O_Created;User_3;2016/01/02 16:33:55.123;New credit;Existing loan takeover;29500.0;A_Cancelled
220;Application_42838382;O_Create Offer;User_3;2016/01/02 16:34:17.443;New credit;Existing loan takeover;29500.0;A_Cancelled
221;Application_42838382;O_Created;User_3;2016/01/02 16:34:18.823;New credit;Existing loan takeover;29500.0;A_Cancelled
222;Application_42838382;O_Sent (mail and online);User_3;2016/01/02 16:34:32.544;New credit;Existing loan takeover;29500.0;A_Cancelled
223;Application_42838382;O_Sent (mail and online);User_3;2016/01/02 16:34:32.546;New credit;Existing loan takeover;29500.0;A_Cancelled
224;Application_42838382;W_Call after offers;User_3;2016/01/02 16:34:32.576;New credit;Existing loan takeover;29500.0;A_Cancelled
225;Application_42838382;A_Complete;User_3;2016/01/02 16:34:32.579;New credit;Existing loan takeover;29500.0;A_Cancelled
226;Application_42838382;O_Create Offer;User_8;2016/01/29 10:37:02.296;New credit;Existing loan takeover;29500.0;A_Cancelled
227;Application_42838382;O_Created;User_8;2016/01/29 10:37:03.812;New credit;Existing loan takeover;29500.0;A_Cancelled
228;Application_42838382;O_Sent (mail and online);User_8;2016/01/29 10:37:20.987;New credit;Existing loan takeover;29500.0;A_Cancelled
229;Application_42838382;A_Cancelled;User_1;2016/02/29 08:01:02.376;New credit;Existing loan takeover;29500.0;A_Cancelled
354;Application_319587802;A_Create Application;User_1;2016/01/02 02:08:49.567;New credit;Car;7000.0;A_Denied
355;Application_319587802;A_Submitted;User_1;2016/01/02 02:08:49.631;New credit;Car;7000.0;A_Denied
356;Application_319587802;W_Handle leads;User_17;2016/01/02 10:43:10.023;New credit;Car;7000.0;A_Denied
357;Application_319587802;W_Complete application;User_108;2016/01/06 18:48:10.313;New credit;Car;7000.0;A_Denied
358;Application_319587802;A_Concept;User_17;2016/01/02 10:43:10.041;New credit;Car;7000.0;A_Denied
359;Application_319587802;A_Accepted;User_108;2016/01/06 18:40:00.341;New credit;Car;7000.0;A_Denied
360;Application_319587802;O_Create Offer;User_108;2016/01/06 18:46:39.105;New credit;Car;7000.0;A_Denied
361;Application_319587802;O_Created;User_108;2016/01/06 18:46:40.385;New credit;Car;7000.0;A_Denied
362;Application_319587802;O_Create Offer;User_108;2016/01/06 18:47:05.520;New credit;Car;7000.0;A_Denied
363;Application_319587802;O_Created;User_108;2016/01/06 18:47:06.805;New credit;Car;7000.0;A_Denied
364;Application_319587802;O_Sent (mail and online);User_108;2016/01/06 18:48:10.296;New credit;Car;7000.0;A_Denied
365;Application_319587802;O_Sent (mail and online);User_108;2016/01/06 18:48:10.298;New credit;Car;7000.0;A_Denied
366;Application_319587802;W_Call after offers;User_108;2016/01/06 18:48:10.322;New credit;Car;7000.0;A_Denied
367;Application_319587802;A_Complete;User_108;2016/01/06 18:48:10.326;New credit;Car;7000.0;A_Denied
368;Application_319587802;O_Create Offer;User_10;2016/01/12 15:56:28.116;New credit;Car;7000.0;A_Denied
369;Application_319587802;O_Created;User_10;2016/01/12 15:56:29.277;New credit;Car;7000.0;A_Denied
370;Application_319587802;O_Sent (mail and online);User_10;2016/01/12 15:56:42.810;New credit;Car;7000.0;A_Denied
371;Application_319587802;W_Validate application;User_29;2016/01/25 11:13:22.181;New credit;Car;7000.0;A_Denied
372;Application_319587802;A_Validating;User_113;2016/01/22 10:13:44.004;New credit;Car;7000.0;A_Denied
373;Application_319587802;O_Returned;User_113;2016/01/22 10:13:52.988;New credit;Car;7000.0;A_Denied
374;Application_319587802;A_Denied;User_29;2016/01/25 11:13:22.096;New credit;Car;7000.0;A_Denied
406;Application_196483749;A_Create Application;User_17;2016/01/02 10:12:07.481;New credit;Car;10000.0;A_Cancelled
407;Application_196483749;W_Complete application;User_17;2016/01/02 10:19:21.360;New credit;Car;10000.0;A_Cancelled
408;Application_196483749;A_Concept;User_17;2016/01/02 10:12:07.505;New credit;Car;10000.0;A_Cancelled
409;Application_196483749;A_Accepted;User_17;2016/01/02 10:15:31.903;New credit;Car;10000.0;A_Cancelled
410;Application_196483749;O_Create Offer;User_17;2016/01/02 10:17:05.720;New credit;Car;10000.0;A_Cancelled
411;Application_196483749;O_Created;User_17;2016/01/02 10:17:08.762;New credit;Car;10000.0;A_Cancelled
412;Application_196483749;O_Sent (online only);User_17;2016/01/02 10:19:21.330;New credit;Car;10000.0;A_Cancelled
413;Application_196483749;W_Call after offers;User_17;2016/01/02 10:19:21.378;New credit;Car;10000.0;A_Cancelled
414;Application_196483749;A_Complete;User_17;2016/01/02 10:19:21.383;New credit;Car;10000.0;A_Cancelled
415;Application_196483749;O_Cancelled;User_17;2016/01/02 10:21:26.034;New credit;Car;10000.0;A_Cancelled
416;Application_196483749;O_Create Offer;User_17;2016/01/02 10:21:42.022;New credit;Car;10000.0;A_Cancelled
417;Application_196483749;O_Created;User_17;2016/01/02 10:21:43.573;New credit;Car;10000.0;A_Cancelled
418;Application_196483749;O_Sent (mail and online);User_17;2016/01/02 10:22:09.421;New credit;Car;10000.0;A_Cancelled
419;Application_196483749;O_Create Offer;User_17;2016/01/02 10:26:43.598;New credit;Car;10000.0;A_Cancelled
420;Application_196483749;O_Created;User_17;2016/01/02 10:26:44.925;New credit;Car;10000.0;A_Cancelled
421;Application_196483749;O_Sent (mail and online);User_17;2016/01/02 10:26:57.389;New credit;Car;10000.0;A_Cancelled
422;Application_196483749;O_Create Offer;User_8;2016/01/29 10:38:52.642;New credit;Car;10000.0;A_Cancelled
423;Application_196483749;O_Created;User_8;2016/01/29 10:38:54.600;New credit;Car;10000.0;A_Cancelled
424;Application_196483749;O_Sent (mail and online);User_8;2016/01/29 10:39:08.912;New credit;Car;10000.0;A_Cancelled
425;Application_196483749;A_Cancelled;User_1;2016/02/29 08:01:05.198;New credit;Car;10000.0;A_Cancelled
469;Application_931862671;A_Create Application;User_1;2016/01/02 11:15:48.153;New credit;Car;6000.0;A_Cancelled
470;Application_931862671;A_Submitted;User_1;2016/01/02 11:15:48.188;New credit;Car;6000.0;A_Cancelled
471;Application_931862671;A_Concept;User_1;2016/01/02 11:16:53.990;New credit;Car;6000.0;A_Cancelled
472;Application_931862671;W_Complete application;User_28;2016/01/04 09:43:45.701;New credit;Car;6000.0;A_Cancelled
473;Application_931862671;A_Accepted;User_28;2016/01/04 09:38:25.215;New credit;Car;6000.0;A_Cancelled
474;Application_931862671;O_Create Offer;User_28;2016/01/04 09:42:28.010;New credit;Car;6000.0;A_Cancelled
475;Application_931862671;O_Created;User_28;2016/01/04 09:42:29.585;New credit;Car;6000.0;A_Cancelled
476;Application_931862671;O_Create Offer;User_28;2016/01/04 09:42:50.365;New credit;Car;6000.0;A_Cancelled
477;Application_931862671;O_Created;User_28;2016/01/04 09:42:51.707;New credit;Car;6000.0;A_Cancelled
478;Application_931862671;O_Sent (mail and online);User_28;2016/01/04 09:43:45.620;New credit;Car;6000.0;A_Cancelled
479;Application_931862671;O_Sent (mail and online);User_28;2016/01/04 09:43:45.635;New credit;Car;6000.0;A_Cancelled
480;Application_931862671;W_Call after offers;User_28;2016/01/04 09:43:45.724;New credit;Car;6000.0;A_Cancelled
481;Application_931862671;A_Complete;User_28;2016/01/04 09:43:45.730;New credit;Car;6000.0;A_Cancelled
482;Application_931862671;O_Create Offer;User_8;2016/01/29 10:42:10.973;New credit;Car;6000.0;A_Cancelled
483;Application_931862671;O_Created;User_8;2016/01/29 10:42:12.645;New credit;Car;6000.0;A_Cancelled
484;Application_931862671;O_Sent (mail and online);User_8;2016/01/29 10:42:26.452;New credit;Car;6000.0;A_Cancelled
485;Application_931862671;A_Cancelled;User_20;2016/02/01 20:18:40.251;New credit;Car;6000.0;A_Cancelled
1106;Application_1825104006;A_Create Application;User_1;2016/01/02 21:20:30.638;New credit;Car;15000.0;A_Cancelled
1107;Application_1825104006;A_Submitted;User_1;2016/01/02 21:20:30.682;New credit;Car;15000.0;A_Cancelled
1108;Application_1825104006;A_Concept;User_1;2016/01/02 21:21:49.494;New credit;Car;15000.0;A_Cancelled
1109;Application_1825104006;W_Complete application;User_16;2016/01/04 11:18:26.275;New credit;Car;15000.0;A_Cancelled
1110;Application_1825104006;A_Accepted;User_31;2016/01/04 13:25:49.384;New credit;Car;15000.0;A_Cancelled
1111;Application_1825104006;O_Create Offer;User_31;2016/01/04 13:31:21.085;New credit;Car;15000.0;A_Cancelled
1112;Application_1825104006;O_Created;User_31;2016/01/04 13:31:22.267;New credit;Car;15000.0;A_Cancelled
1113;Application_1825104006;O_Create Offer;User_31;2016/01/04 13:32:20.958;New credit;Car;15000.0;A_Cancelled
1114;Application_1825104006;O_Created;User_31;2016/01/04 13:32:22.246;New credit;Car;15000.0;A_Cancelled
1115;Application_1825104006;O_Sent (mail and online);User_31;2016/01/04 13:34:11.971;New credit;Car;15000.0;A_Cancelled
1116;Application_1825104006;O_Sent (mail and online);User_31;2016/01/04 13:34:12.011;New credit;Car;15000.0;A_Cancelled
1117;Application_1825104006;W_Call after offers;User_31;2016/01/04 13:34:12.071;New credit;Car;15000.0;A_Cancelled
